Metadata_well_position	Metadata_clone_number	Metadata_clone_type	Metadata_treatment	umap_x	umap_y
B02	BZ017	resistant	DMSO	4.8568816	-3.4708033
B03	WT002	wildtype	DMSO	2.8376298	-4.2249775
B04	WT008	wildtype	DMSO	1.9168862	-4.1188917
B05	WT009	wildtype	DMSO	6.350425	-3.391685
B06	BZ018	resistant	DMSO	5.9950404	-1.6684409
B07	WT011	wildtype	DMSO	6.915803	-3.5204206
B07	WT_parental	wildtype	DMSO	6.76243	-3.5594034
B08	BZ001	resistant	DMSO	6.957016	-3.273479
B08	WT011	wildtype	DMSO	6.9046345	-3.124698
B09	BZ008	resistant	DMSO	6.268371	-1.8199855
B09	BZ001	resistant	DMSO	6.0332384	-1.606396
B10	WT_parental	wildtype	DMSO	3.810182	-4.3921876
B10	BZ008	resistant	DMSO	4.177654	-4.3558702
B11	WT_parental	wildtype	DMSO	4.215294	-4.4397283
C02	BZ017	resistant	DMSO	4.8620296	-3.2555473
C03	BZ008	resistant	DMSO	5.248215	-2.8076727
C04	BZ001	resistant	DMSO	5.635002	-2.1261508
C05	WT011	wildtype	DMSO	6.380196	-3.788445
C06	BZ018	resistant	DMSO	5.4529543	-1.6601543
C07	WT009	wildtype	DMSO	6.1070895	-3.4263523
C07	WT_parental	wildtype	DMSO	6.076696	-3.149706
C08	WT008	wildtype	DMSO	1.785138	-4.462554
C08	WT009	wildtype	DMSO	2.0649304	-4.4551363
C09	WT002	wildtype	DMSO	2.1199088	-4.763388
C09	WT008	wildtype	DMSO	2.099417	-4.552515
C10	WT_parental	wildtype	DMSO	2.4176104	-4.951129
C10	WT002	wildtype	DMSO	2.4888282	-4.8787074
C11	WT_parental	wildtype	DMSO	4.050222	-4.5119514
D02	BZ017	resistant	DMSO	4.562215	-3.206685
D03	WT002	wildtype	DMSO	2.62121	-4.39355
D04	WT008	wildtype	DMSO	1.972235	-3.9145973
D05	WT009	wildtype	DMSO	5.514149	-3.1367874
D06	BZ018	resistant	DMSO	5.315134	-1.6423552
D07	WT011	wildtype	DMSO	5.8684273	-3.4948862
D07	WT_parental	wildtype	DMSO	5.904415	-3.2923777
D08	BZ001	resistant	DMSO	6.0645146	-2.906623
D08	WT011	wildtype	DMSO	6.289767	-2.756099
D09	BZ008	resistant	DMSO	5.724831	-2.0523686
D09	BZ001	resistant	DMSO	5.676425	-1.9537963
D10	WT_parental	wildtype	DMSO	2.3604007	-4.507591
D10	BZ008	resistant	DMSO	2.5952437	-4.813955
D11	WT_parental	wildtype	DMSO	4.0462136	-4.5491786
E02	WT_parental	wildtype	DMSO	5.263413	-3.5165353
E03	BZ017	resistant	bortezomib	2.4995973	-2.2696576
E04	WT002	wildtype	bortezomib	1.8257421	-2.6816132
E05	WT008	wildtype	bortezomib	1.4642236	-2.4702332
E06	WT009	wildtype	bortezomib	2.4176776	0.9823492
E07	BZ018	resistant	bortezomib	4.557269	-1.2941502
E08	WT011	wildtype	bortezomib	2.8746755	0.18244392
E08	WT_parental	wildtype	bortezomib	2.9236412	0.5234654
E09	BZ001	resistant	bortezomib	3.643411	-0.36926246
E09	WT011	wildtype	bortezomib	3.5426457	-0.3365193
E10	BZ008	resistant	bortezomib	3.438235	-0.54599905
E10	BZ001	resistant	bortezomib	3.5774508	-0.7460039
E11	WT_parental	wildtype	bortezomib	1.0225902	-1.0338928
E11	BZ008	resistant	bortezomib	1.2127464	-0.8539589
F02	WT_parental	wildtype	DMSO	5.3357744	-3.4803605
F03	BZ017	resistant	bortezomib	2.633296	-2.235212
F04	BZ008	resistant	bortezomib	2.8757174	-1.4582844
F05	BZ001	resistant	bortezomib	3.2403708	-1.1119051
F06	WT011	wildtype	bortezomib	2.8169153	0.59226185
F07	BZ018	resistant	bortezomib	4.6099553	-1.2022856
F08	WT009	wildtype	bortezomib	2.2874563	0.817489
F08	WT_parental	wildtype	bortezomib	2.3747797	0.8077422
F09	WT008	wildtype	bortezomib	1.0147711	-2.1881895
F09	WT009	wildtype	bortezomib	1.074068	-1.9909245
F10	WT002	wildtype	bortezomib	1.2704761	-2.2473598
F10	WT008	wildtype	bortezomib	1.3641446	-2.0124488
F11	WT_parental	wildtype	bortezomib	0.8262119	-0.9473044
F11	WT002	wildtype	bortezomib	0.9245041	-0.79434335
G02	WT_parental	wildtype	DMSO	5.2791796	-3.548539
G03	BZ017	resistant	bortezomib	2.5922744	-1.8829818
G04	WT002	wildtype	bortezomib	1.7803721	-2.8553452
G05	WT008	wildtype	bortezomib	1.3496934	-2.3406482
G06	WT009	wildtype	bortezomib	2.1872969	0.90220237
G07	BZ018	resistant	bortezomib	4.3455133	-1.0751269
G08	WT011	wildtype	bortezomib	2.4717946	0.35177404
G08	WT_parental	wildtype	bortezomib	2.6093366	0.28596094
G09	BZ001	resistant	bortezomib	2.531096	-0.11875918
G09	WT011	wildtype	bortezomib	2.3239124	0.062101353
G10	BZ008	resistant	bortezomib	2.9639647	-0.4238487
G10	BZ001	resistant	bortezomib	3.028751	-0.5211078
G11	WT_parental	wildtype	bortezomib	1.0872141	-0.59292454
G11	BZ008	resistant	bortezomib	0.92685914	-0.7813035
