plate_map_name	well_position	CellLine	Dosage
PlateMap_HCT116bortezomib	B03	WT	0
PlateMap_HCT116bortezomib	B04	WT	0
PlateMap_HCT116bortezomib	B05	WT	0
PlateMap_HCT116bortezomib	B06	CloneA	0
PlateMap_HCT116bortezomib	B07	CloneA	0
PlateMap_HCT116bortezomib	B08	CloneA	0
PlateMap_HCT116bortezomib	B09	CloneE	0
PlateMap_HCT116bortezomib	B10	CloneE	0
PlateMap_HCT116bortezomib	B11	CloneE	0
PlateMap_HCT116bortezomib	C03	WT	0.7
PlateMap_HCT116bortezomib	C04	WT	0.7
PlateMap_HCT116bortezomib	C05	WT	0.7
PlateMap_HCT116bortezomib	C06	CloneA	0.7
PlateMap_HCT116bortezomib	C07	CloneA	0.7
PlateMap_HCT116bortezomib	F08	CloneA	0.7
PlateMap_HCT116bortezomib	C09	CloneE	0.7
PlateMap_HCT116bortezomib	C10	CloneE	0.7
PlateMap_HCT116bortezomib	C11	CloneE	0.7
PlateMap_HCT116bortezomib	D03	WT	7
PlateMap_HCT116bortezomib	D04	WT	7
PlateMap_HCT116bortezomib	D05	WT	7
PlateMap_HCT116bortezomib	D06	CloneA	7
PlateMap_HCT116bortezomib	D07	CloneA	7
PlateMap_HCT116bortezomib	D08	CloneA	7
PlateMap_HCT116bortezomib	D09	CloneE	7
PlateMap_HCT116bortezomib	D10	CloneE	7
PlateMap_HCT116bortezomib	D11	CloneE	7
PlateMap_HCT116bortezomib	E03	WT	70
PlateMap_HCT116bortezomib	E04	WT	70
PlateMap_HCT116bortezomib	E05	WT	70
PlateMap_HCT116bortezomib	E06	CloneA	70
PlateMap_HCT116bortezomib	E07	CloneA	70
PlateMap_HCT116bortezomib	E08	CloneA	70
PlateMap_HCT116bortezomib	E09	CloneE	70
PlateMap_HCT116bortezomib	E10	CloneE	70
PlateMap_HCT116bortezomib	E11	CloneE	70
