Metadata_Plate	Metadata_Well	Metadata_Assay_Plate_Barcode	Metadata_Plate_Map_Name	Metadata_well_position	Metadata_clone_number	Metadata_plate_ID	Metadata_plate_filename	Metadata_treatment	Metadata_batch	Metadata_clone_type	umap_x	umap_y
217755	B02	217755	217755	B02	BZ017	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	4.5386767	3.4438727
217755	B03	217755	217755	B03	WT002	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	2.233128	5.00871
217755	B04	217755	217755	B04	WT008	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	1.4153869	2.2543943
217755	B05	217755	217755	B05	WT009	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.630352	1.621999
217755	B06	217755	217755	B06	BZ018	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	0.432097	0.45678332
217755	B07	217755	217755	B07	WT011	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.5660012	1.5562121
217755	B08	217755	217755	B08	BZ001	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	3.3636334	1.5917597
217755	B09	217755	217755	B09	BZ008	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	1.915271	1.1935309
217755	B10	217755	217755	B10	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.7890713	1.4725214
217755	B11	217755	217755	B11	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.7518513	1.371657
217755	C02	217755	217755	C02	BZ017	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	3.6667013	3.0927045
217755	C03	217755	217755	C03	BZ008	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	3.4881966	2.6167634
217755	C04	217755	217755	C04	BZ001	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	2.7645352	3.3094556
217755	C05	217755	217755	C05	WT011	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.1763515	3.5162883
217755	C06	217755	217755	C06	BZ018	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	0.46148393	0.52386355
217755	C07	217755	217755	C07	WT009	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	2.897485	2.0232904
217755	C08	217755	217755	C08	WT008	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	1.3383794	2.22578
217755	C09	217755	217755	C09	WT002	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	2.515249	4.828954
217755	C10	217755	217755	C10	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.240084	3.063375
217755	C11	217755	217755	C11	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.823589	1.3757455
217755	D02	217755	217755	D02	BZ017	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	3.7434423	3.1672683
217755	D03	217755	217755	D03	WT002	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	2.1909075	5.0031385
217755	D04	217755	217755	D04	WT008	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	1.357293	2.1921725
217755	D05	217755	217755	D05	WT009	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.1229389	2.2635229
217755	D06	217755	217755	D06	BZ018	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	0.18629323	0.5276416
217755	D07	217755	217755	D07	WT011	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.0088005	3.6672757
217755	D08	217755	217755	D08	BZ001	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	2.4907787	3.5275934
217755	D09	217755	217755	D09	BZ008	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	resistant	1.342899	1.3226167
217755	D10	217755	217755	D10	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.1427672	3.0147533
217755	D11	217755	217755	D11	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	3.8780777	1.4900846
217755	E02	217755	217755	E02	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	5.3432136	2.841472
217755	E03	217755	217755	E03	BZ017	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-0.0014396601	3.309541
217755	E04	217755	217755	E04	WT002	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	1.1967593	4.96373
217755	E05	217755	217755	E05	WT008	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-1.1210828	3.4873838
217755	E06	217755	217755	E06	WT009	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-1.5876725	4.6153307
217755	E07	217755	217755	E07	BZ018	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-0.30674723	0.7927321
217755	E08	217755	217755	E08	WT011	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-0.4857578	5.0570474
217755	E09	217755	217755	E09	BZ001	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	0.61142135	3.9742062
217755	E10	217755	217755	E10	BZ008	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-0.8828306	2.5686853
217755	E11	217755	217755	E11	WT_parental	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-2.5854003	5.6182175
217755	F02	217755	217755	F02	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	5.5540886	2.7376237
217755	F03	217755	217755	F03	BZ017	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-0.37498355	3.091295
217755	F04	217755	217755	F04	BZ008	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-0.63277286	3.1826751
217755	F05	217755	217755	F05	BZ001	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	0.11390313	3.9642026
217755	F06	217755	217755	F06	WT011	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-0.5486228	5.0214887
217755	F07	217755	217755	F07	BZ018	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-0.2550063	0.81189543
217755	F08	217755	217755	F08	WT009	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-1.5638363	4.751577
217755	F09	217755	217755	F09	WT008	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-1.0675975	3.3190758
217755	F10	217755	217755	F10	WT002	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	0.852965	4.9222264
217755	F11	217755	217755	F11	WT_parental	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-2.4135559	5.4392166
217755	G02	217755	217755	G02	WT_parental	217755	20191119-TH-WTMUT-4h	DMSO	2019_11_19_Batch5	wildtype	5.5493107	2.770306
217755	G03	217755	217755	G03	BZ017	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-0.7700772	3.2391987
217755	G04	217755	217755	G04	WT002	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	1.3525978	4.962704
217755	G05	217755	217755	G05	WT008	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-1.3534049	3.912417
217755	G06	217755	217755	G06	WT009	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-1.5788177	4.5549936
217755	G07	217755	217755	G07	BZ018	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-0.3163342	0.7813312
217755	G08	217755	217755	G08	WT011	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-0.42805317	4.9801035
217755	G09	217755	217755	G09	BZ001	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	0.16592066	4.428342
217755	G10	217755	217755	G10	BZ008	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	resistant	-1.1228979	2.737855
217755	G11	217755	217755	G11	WT_parental	217755	20191119-TH-WTMUT-4h	bortezomib	2019_11_19_Batch5	wildtype	-2.565688	5.598742
217760	B02	217760	217760	B02	BZ017	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	4.048748	3.9393187
217760	B03	217760	217760	B03	WT002	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.9105039	4.0143504
217760	B04	217760	217760	B04	WT008	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.6592872	4.2136884
217760	B05	217760	217760	B05	WT009	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.1288657	0.5803279
217760	B06	217760	217760	B06	BZ018	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.5023568	2.9080691
217760	B07	217760	217760	B07	WT011	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.1539574	0.5614109
217760	B08	217760	217760	B08	BZ001	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.8831105	0.20331177
217760	B09	217760	217760	B09	BZ008	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.7895463	0.25923505
217760	B10	217760	217760	B10	WT_parental	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.9126115	4.2279963
217760	B11	217760	217760	B11	WT_parental	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.89517	4.4223313
217760	C02	217760	217760	C02	BZ017	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	3.924354	3.799283
217760	C03	217760	217760	C03	BZ008	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.6846843	0.28605804
217760	C04	217760	217760	C04	BZ001	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.7016048	0.26077837
217760	C05	217760	217760	C05	WT011	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.0969634	0.6726496
217760	C06	217760	217760	C06	BZ018	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.220925	3.4129193
217760	C07	217760	217760	C07	WT009	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.160842	0.48594582
217760	C08	217760	217760	C08	WT008	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.5029137	3.958703
217760	C09	217760	217760	C09	WT002	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.8296616	4.0909157
217760	C10	217760	217760	C10	WT_parental	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.3834386	4.3852444
217760	C11	217760	217760	C11	WT_parental	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.6746392	4.4852896
217760	D02	217760	217760	D02	BZ017	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	3.5941372	3.6570892
217760	D03	217760	217760	D03	WT002	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.9024923	3.7418268
217760	D04	217760	217760	D04	WT008	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.5971265	3.9311357
217760	D05	217760	217760	D05	WT009	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.1005826	0.6007943
217760	D06	217760	217760	D06	BZ018	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.1314902	3.631128
217760	D07	217760	217760	D07	WT011	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.0728438	0.62107915
217760	D08	217760	217760	D08	BZ001	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.5341113	0.18211178
217760	D09	217760	217760	D09	BZ008	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	resistant	2.4647806	0.1849082
217760	D10	217760	217760	D10	WT_parental	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.3244255	4.134975
217760	D11	217760	217760	D11	WT_parental	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	2.607974	4.4433837
217760	E02	217760	217760	E02	WT_parental	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.8841221	3.8515637
217760	E03	217760	217760	E03	BZ017	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	resistant	1.7968218	3.7497296
217760	E04	217760	217760	E04	WT002	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	-0.30358544	5.179963
217760	E05	217760	217760	E05	WT008	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	1.28192	4.0542846
217760	E06	217760	217760	E06	WT009	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	-2.4595673	4.4928875
217760	E07	217760	217760	E07	BZ018	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	resistant	1.986127	3.612548
217760	E08	217760	217760	E08	WT011	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	-2.3302307	4.6643915
217760	E09	217760	217760	E09	BZ001	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	resistant	-1.7430487	2.2857404
217760	E10	217760	217760	E10	BZ008	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	resistant	-1.6433686	2.381051
217760	E11	217760	217760	E11	WT_parental	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	-0.70939577	4.830108
217760	F02	217760	217760	F02	WT_parental	217760	20191120-20191115-HiDensity	DMSO	2019_11_20_Batch6	wildtype	3.7429426	3.8404
217760	F03	217760	217760	F03	BZ017	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	resistant	1.7119323	3.607134
217760	F04	217760	217760	F04	BZ008	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	resistant	-1.5591773	2.4298775
217760	F05	217760	217760	F05	BZ001	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	resistant	-1.6748601	2.4178662
217760	F06	217760	217760	F06	WT011	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	-2.346624	4.666691
217760	F07	217760	217760	F07	BZ018	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	resistant	1.8711002	3.728419
217760	F08	217760	217760	F08	WT009	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	-2.279517	4.6236925
217760	F09	217760	217760	F09	WT008	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	0.88758296	4.2706537
217760	F10	217760	217760	F10	WT002	217760	20191120-20191115-HiDensity	bortezomib	2019_11_20_Batch6	wildtype	-0.2971096	5.192631
