,term,df,sumsq,meansq,statistic,p.value,feature,neg_log_p,dataset
1,Metadata_clone_type_indicator,1,13.79156432,13.79156432,22.22828397,4.69E-06,Cells_AreaShape_Compactness,5.328934576,bortezomib
2,Metadata_treatment_time,1,0.674745489,0.674745489,1.08750784,0.298356108,Cells_AreaShape_Compactness,0.525265067,bortezomib
3,Metadata_batch,4,2.683216278,0.67080407,1.081155336,0.367124516,Cells_AreaShape_Compactness,0.435186613,bortezomib
4,Metadata_clone_number,8,87.79925628,10.97490704,17.6885917,1.42E-19,Cells_AreaShape_Compactness,18.84862248,bortezomib
5,Metadata_clone_type_indicator,1,1.119078229,1.119078229,2.016515958,0.157243215,Cells_AreaShape_Eccentricity,0.803428086,bortezomib
6,Metadata_treatment_time,1,0.35535415,0.35535415,0.640328169,0.42459665,Cells_AreaShape_Eccentricity,0.372023437,bortezomib
7,Metadata_batch,4,6.303653085,1.575913271,2.839706981,0.025587083,Cells_AreaShape_Eccentricity,1.591979223,bortezomib
8,Metadata_clone_number,8,66.57102583,8.321378229,14.99465503,6.23E-17,Cells_AreaShape_Eccentricity,16.20532876,bortezomib
9,Metadata_clone_type_indicator,1,23.10378427,23.10378427,42.83516706,5.45E-10,Cells_AreaShape_Extent,9.263496222,bortezomib
10,Metadata_treatment_time,1,0.030384257,0.030384257,0.0563334,0.812645008,Cells_AreaShape_Extent,0.090099128,bortezomib
11,Metadata_batch,4,2.533459374,0.633364844,1.174279008,0.323526777,Cells_AreaShape_Extent,0.490089769,bortezomib
12,Metadata_clone_number,8,126.0074148,15.75092685,29.20273039,2.44E-29,Cells_AreaShape_Extent,28.61266824,bortezomib
13,Metadata_clone_type_indicator,1,19.04654607,19.04654607,54.4624329,4.88E-12,Cells_AreaShape_FormFactor,11.31144172,bortezomib
14,Metadata_treatment_time,1,0.112309023,0.112309023,0.321140778,0.571595241,Cells_AreaShape_FormFactor,0.242911395,bortezomib
15,Metadata_batch,4,1.551990428,0.387997607,1.109455413,0.353398511,Cells_AreaShape_FormFactor,0.451735285,bortezomib
16,Metadata_clone_number,8,127.7830349,15.97287936,45.67347103,2.98E-40,Cells_AreaShape_FormFactor,39.52546836,bortezomib
17,Metadata_clone_type_indicator,1,0.100844228,0.100844228,0.223158963,0.637188423,Cells_AreaShape_MeanRadius,0.195732124,bortezomib
18,Metadata_treatment_time,1,0.143414404,0.143414404,0.317362831,0.573864555,Cells_AreaShape_MeanRadius,0.241190599,bortezomib
19,Metadata_batch,4,11.65691407,2.914228518,6.448918569,6.93E-05,Cells_AreaShape_MeanRadius,4.159144465,bortezomib
20,Metadata_clone_number,8,50.70295583,6.337869479,14.02511983,6.11E-16,Cells_AreaShape_MeanRadius,15.21431188,bortezomib
21,Metadata_clone_type_indicator,1,0.004144833,0.004144833,0.00856898,0.926344192,Cells_AreaShape_MedianRadius,0.033227617,bortezomib
22,Metadata_treatment_time,1,0.082195048,0.082195048,0.169929091,0.68064201,Cells_AreaShape_MedianRadius,0.16708125,bortezomib
23,Metadata_batch,4,12.28642765,3.071606914,6.350204559,8.15E-05,Cells_AreaShape_MedianRadius,4.089049533,bortezomib
24,Metadata_clone_number,8,46.87609817,5.859512271,12.11388781,6.37E-14,Cells_AreaShape_MedianRadius,13.19552345,bortezomib
25,Metadata_clone_type_indicator,1,0.326299247,0.326299247,0.299266153,0.584988181,Cells_AreaShape_Orientation,0.232852908,bortezomib
26,Metadata_treatment_time,1,0.165906222,0.165906222,0.152161298,0.696917696,Cells_AreaShape_Orientation,0.156818508,bortezomib
27,Metadata_batch,4,4.096476295,1.024119074,0.939273316,0.442358348,Cells_AreaShape_Orientation,0.354225772,bortezomib
28,Metadata_clone_number,8,21.31684397,2.664605496,2.443849456,0.015426203,Cells_AreaShape_Orientation,1.811740952,bortezomib
29,Metadata_clone_type_indicator,1,26.86225622,26.86225622,95.01469349,1.91E-18,Cells_AreaShape_Solidity,17.71856833,bortezomib
30,Metadata_treatment_time,1,0.328591154,0.328591154,1.162262304,0.28237088,Cells_AreaShape_Solidity,0.549180093,bortezomib
31,Metadata_batch,4,5.027852376,1.256963094,4.446013846,0.001860463,Cells_AreaShape_Solidity,2.730378895,bortezomib
32,Metadata_clone_number,8,128.5198562,16.06498202,56.82357171,2.76E-46,Cells_AreaShape_Solidity,45.55974775,bortezomib
33,Metadata_clone_type_indicator,1,14.37872436,14.37872436,25.94167513,8.48E-07,Cells_AreaShape_Zernike_0_0,6.071598332,bortezomib
34,Metadata_treatment_time,1,0.001768035,0.001768035,0.003189837,0.955020169,Cells_AreaShape_Zernike_0_0,0.019987456,bortezomib
35,Metadata_batch,4,4.8287034,1.20717585,2.177951462,0.073037025,Cells_AreaShape_Zernike_0_0,1.136456925,bortezomib
36,Metadata_clone_number,8,87.29707494,10.91213437,19.68735458,1.94E-21,Cells_AreaShape_Zernike_0_0,20.71159961,bortezomib
37,Metadata_clone_type_indicator,1,0.13949444,0.13949444,0.141534113,0.707182603,Cells_AreaShape_Zernike_1_1,0.150468432,bortezomib
38,Metadata_treatment_time,1,0.973151293,0.973151293,0.987380613,0.321653881,Cells_AreaShape_Zernike_1_1,0.492611204,bortezomib
39,Metadata_batch,4,1.097151768,0.274287942,0.278298553,0.891760036,Cells_AreaShape_Zernike_1_1,0.049751994,bortezomib
40,Metadata_clone_number,8,46.03631192,5.75453899,5.838681282,1.14E-06,Cells_AreaShape_Zernike_1_1,5.94129564,bortezomib
41,Metadata_clone_type_indicator,1,11.6728946,11.6728946,19.33617861,1.83E-05,Cells_AreaShape_Zernike_2_0,4.738229052,bortezomib
42,Metadata_treatment_time,1,2.576398532,2.576398532,4.267810506,0.040205087,Cells_AreaShape_Zernike_2_0,1.395718997,bortezomib
43,Metadata_batch,4,0.747243549,0.186810887,0.309452694,0.871422927,Cells_AreaShape_Zernike_2_0,0.059771018,bortezomib
44,Metadata_clone_number,8,73.62386941,9.202983676,15.2447651,3.49E-17,Cells_AreaShape_Zernike_2_0,16.45747766,bortezomib
45,Metadata_clone_type_indicator,1,4.351533204,4.351533204,5.852883825,0.016499009,Cells_AreaShape_Zernike_2_2,1.782542152,bortezomib
46,Metadata_treatment_time,1,0.141413929,0.141413929,0.190204064,0.663244579,Cells_AreaShape_Zernike_2_2,0.178326291,bortezomib
47,Metadata_batch,4,1.818762058,0.454690515,0.61156623,0.654802089,Cells_AreaShape_Zernike_2_2,0.183889944,bortezomib
48,Metadata_clone_number,8,60.71614689,7.589518361,10.20802719,8.07E-12,Cells_AreaShape_Zernike_2_2,11.09296526,bortezomib
49,Metadata_clone_type_indicator,1,15.92503343,15.92503343,28.96680929,2.16E-07,Cells_AreaShape_Zernike_3_1,6.664622477,bortezomib
50,Metadata_treatment_time,1,0.010967036,0.010967036,0.01994847,0.887831524,Cells_AreaShape_Zernike_3_1,0.051669439,bortezomib
51,Metadata_batch,4,2.819751746,0.704937937,1.28224552,0.278459908,Cells_AreaShape_Zernike_3_1,0.555237325,bortezomib
52,Metadata_clone_number,8,94.59128021,11.82391003,21.50707868,4.57E-23,Cells_AreaShape_Zernike_3_1,22.34048841,bortezomib
53,Metadata_clone_type_indicator,1,4.791693829,4.791693829,5.888659559,0.016177258,Cells_AreaShape_Zernike_3_3,1.791095081,bortezomib
54,Metadata_treatment_time,1,0.21118199,0.21118199,0.259528026,0.611038888,Cells_AreaShape_Zernike_3_3,0.213931149,bortezomib
55,Metadata_batch,4,1.165607129,0.291401782,0.358112591,0.83816397,Cells_AreaShape_Zernike_3_3,0.076671012,bortezomib
56,Metadata_clone_number,8,44.79592369,5.599490461,6.881385623,6.19E-08,Cells_AreaShape_Zernike_3_3,7.208466799,bortezomib
57,Metadata_clone_type_indicator,1,14.04033697,14.04033697,23.54355914,2.55E-06,Cells_AreaShape_Zernike_4_0,5.59392849,bortezomib
58,Metadata_treatment_time,1,0.078598467,0.078598467,0.131797952,0.716980793,Cells_AreaShape_Zernike_4_0,0.144492478,bortezomib
59,Metadata_batch,4,2.957492558,0.739373139,1.239818907,0.295488892,Cells_AreaShape_Zernike_4_0,0.52945884,bortezomib
60,Metadata_clone_number,8,83.8002767,10.47503459,17.56507675,1.86E-19,Cells_AreaShape_Zernike_4_0,18.730838,bortezomib
61,Metadata_clone_type_indicator,1,11.54286473,11.54286473,17.38491624,4.65E-05,Cells_AreaShape_Zernike_4_2,4.332982561,bortezomib
62,Metadata_treatment_time,1,0.137353786,0.137353786,0.206871008,0.649753001,Cells_AreaShape_Zernike_4_2,0.187251706,bortezomib
63,Metadata_batch,4,9.981187918,2.495296979,3.758211673,0.005754907,Cells_AreaShape_Zernike_4_2,2.239961697,bortezomib
64,Metadata_clone_number,8,44.77017544,5.59627193,8.428645835,8.95E-10,Cells_AreaShape_Zernike_4_2,9.048011277,bortezomib
65,Metadata_clone_type_indicator,1,6.437760752,6.437760752,8.245526254,0.004551669,Cells_AreaShape_Zernike_4_4,2.341829311,bortezomib
66,Metadata_treatment_time,1,0.006696849,0.006696849,0.008577368,0.926308251,Cells_AreaShape_Zernike_4_4,0.033244467,bortezomib
67,Metadata_batch,4,2.723596204,0.680899051,0.872099977,0.481718777,Cells_AreaShape_Zernike_4_4,0.317206425,bortezomib
68,Metadata_clone_number,8,59.73920597,7.467400747,9.564295922,4.34E-11,Cells_AreaShape_Zernike_4_4,10.36223482,bortezomib
