"","term","estimate","std.error","statistic","p.value","feature","rsquared","neg_log_p","dataset"
"1","Metadata_clone_type_indicator1",1.59985296564732,0.0907978965606133,17.6199342302971,1.23675245464923e-42,"Nuclei_RadialDistribution_FracAtD_ER_2of4",0.607465184145174,41.9077172189953,"bortezomib"
"2","Metadata_clone_type_indicator1",1.48881520559403,0.087959529941826,16.926138720599,1.56320734364137e-40,"Nuclei_RadialDistribution_MeanFrac_ER_1of4",0.602976465592783,39.8059834133903,"bortezomib"
"3","Metadata_clone_type_indicator1",1.53134362585551,0.0956214064982101,16.014652805637,9.52029132003249e-38,"Nuclei_RadialDistribution_FracAtD_ER_1of4",0.561554348341226,37.0213497620413,"bortezomib"
"4","Metadata_clone_type_indicator1",1.35077364263951,0.0913279365824422,14.7903663784209,5.61695745247682e-34,"Nuclei_RadialDistribution_MeanFrac_ER_2of4",0.562221701013949,33.2504988658202,"bortezomib"
"5","Metadata_clone_type_indicator1",-1.42180966135337,0.0965624121072088,-14.7242558499346,8.990451612882e-34,"Nuclei_RadialDistribution_FracAtD_ER_4of4",0.545723083512876,33.0462184920202,"bortezomib"
"6","Metadata_clone_type_indicator1",1.52437459428043,0.112487363067016,13.5515186125597,3.80933382324138e-30,"Nuclei_RadialDistribution_FracAtD_Mito_1of4",0.478511301520709,29.4191509671555,"bortezomib"
"7","Metadata_clone_type_indicator1",1.19868466143247,0.0896372679750708,13.3726148566446,1.36098401566539e-29,"Cells_RadialDistribution_RadialCV_AGP_1of4",0.517076190701027,28.8661469754205,"bortezomib"
"8","Metadata_clone_type_indicator1",1.27915507646056,0.100466537822679,12.7321504670365,1.28810000359957e-27,"Nuclei_RadialDistribution_FracAtD_RNA_1of4",0.44906967298722,26.8900504185558,"bortezomib"
"9","Metadata_clone_type_indicator1",1.1786566289847,0.0928797313962801,12.690138217087,1.73500148876158e-27,"Nuclei_RadialDistribution_RadialCV_AGP_2of4",0.509101081845986,26.7607001482157,"bortezomib"
"10","Metadata_clone_type_indicator1",1.11388968443213,0.0888361740288559,12.538694924776,5.07239976333234e-27,"Cells_RadialDistribution_RadialCV_AGP_2of4",0.508621166754534,26.2947865263866,"bortezomib"
"11","Metadata_clone_type_indicator1",1.10059027460352,0.0880678234021964,12.4970759136086,6.81002279897074e-27,"Nuclei_RadialDistribution_RadialCV_ER_1of4",0.462249652781235,26.1668514341297,"bortezomib"
"12","Metadata_clone_type_indicator1",1.08703065421247,0.0879031580361329,12.3662298203853,1.71807774645168e-26,"Nuclei_RadialDistribution_RadialCV_ER_2of4",0.476765376235076,25.7649571873668,"bortezomib"
"13","Metadata_clone_type_indicator1",1.05570150645934,0.0862590058966311,12.2387395436071,4.22791277878527e-26,"Cells_RadialDistribution_RadialCV_ER_2of4",0.465266571889825,25.3738739807031,"bortezomib"
"14","Metadata_clone_type_indicator1",1.267523775504,0.103780311833985,12.213528299391,5.05126397926207e-26,"Nuclei_RadialDistribution_FracAtD_RNA_2of4",0.426011260567573,25.2965999346472,"bortezomib"
"15","Metadata_clone_type_indicator1",1.17002923452716,0.097585493755977,11.9897864886859,2.44454104033765e-25,"Nuclei_RadialDistribution_RadialCV_AGP_1of4",0.465405795999698,24.6118026671575,"bortezomib"
"16","Metadata_clone_type_indicator1",1.42800903620875,0.119695975514336,11.9303011657039,3.71487388136386e-25,"Nuclei_RadialDistribution_FracAtD_Mito_2of4",0.414581792515293,24.4300559257951,"bortezomib"
"17","Metadata_clone_type_indicator1",0.994818840115883,0.0840031452435518,11.842638001608,6.87894478730919e-25,"Cells_Correlation_RWC_DNA_ER",0.490447567041706,24.1624781763279,"bortezomib"
"18","Metadata_clone_type_indicator1",1.07833250531811,0.0913635307963495,11.8026579743479,9.10851030054648e-25,"Nuclei_RadialDistribution_MeanFrac_RNA_1of4",0.446297460257485,24.0405526462054,"bortezomib"
"19","Metadata_clone_type_indicator1",1.03868829527835,0.0913244743957504,11.3736027735265,1.8333727706428e-23,"Cells_RadialDistribution_RadialCV_ER_1of4",0.411408372478361,22.7367492231045,"bortezomib"
"20","Metadata_clone_type_indicator1",1.12320922498816,0.102022247052083,11.0094538930784,2.30207259177611e-22,"Cells_RadialDistribution_FracAtD_ER_1of4",0.447272102717885,21.6378809857841,"bortezomib"
