feature	WT parental	Clone A	Clone E
Cells_AreaShape_Center_X	0.0	0.0	0.0
Cells_AreaShape_Center_Y	0.0	0.0	0.0
Cells_AreaShape_Compactness	0.024897097147380802	-0.0001391674954981809	0.0
Cells_AreaShape_Eccentricity	0.0	0.0	0.0
Cells_AreaShape_Extent	0.0	0.0	0.0
Cells_AreaShape_FormFactor	0.0	0.0	0.0
Cells_AreaShape_MeanRadius	0.0	0.0	0.0
Cells_AreaShape_MinFeretDiameter	0.0	0.0	0.0
Cells_AreaShape_MinorAxisLength	0.0	0.0	0.0
Cells_AreaShape_Orientation	0.0	0.0	0.0
Cells_AreaShape_Solidity	0.0	0.0	0.0
Cells_AreaShape_Zernike_0_0	-0.01264103890106952	0.0	0.0
Cells_AreaShape_Zernike_1_1	0.0	0.0	0.0
Cells_AreaShape_Zernike_2_0	-0.002416485691039557	0.0	0.0
Cells_AreaShape_Zernike_2_2	0.0	0.0	0.0
Cells_AreaShape_Zernike_3_1	0.0	0.0	0.0
Cells_AreaShape_Zernike_3_3	0.0	0.0	0.0
Cells_AreaShape_Zernike_4_0	0.0	0.0	0.0
Cells_AreaShape_Zernike_4_2	0.0	0.0	0.0
Cells_AreaShape_Zernike_4_4	0.0	0.0	0.0
Cells_AreaShape_Zernike_5_1	0.0	0.0	0.0
Cells_AreaShape_Zernike_5_3	0.0	0.0	0.0
Cells_AreaShape_Zernike_5_5	0.0	0.0	0.0
Cells_AreaShape_Zernike_6_0	0.0	0.0	0.0
Cells_AreaShape_Zernike_6_2	0.0	0.0	0.0
Cells_AreaShape_Zernike_6_4	0.0	0.0	0.0
Cells_AreaShape_Zernike_6_6	0.0	0.0	0.0
Cells_AreaShape_Zernike_7_1	0.0	0.0	0.0
Cells_AreaShape_Zernike_7_3	0.0	0.0	-0.00047049111434087186
Cells_AreaShape_Zernike_7_5	0.0	0.0	0.0
Cells_AreaShape_Zernike_7_7	0.0	0.0	0.0
Cells_AreaShape_Zernike_8_0	0.0	0.0	0.0
Cells_AreaShape_Zernike_8_2	0.0	0.0	0.0
Cells_AreaShape_Zernike_8_4	0.0018990798896351402	0.0	0.0
Cells_AreaShape_Zernike_8_6	0.0	0.0	0.0
Cells_AreaShape_Zernike_8_8	0.0	0.0	0.0
Cells_AreaShape_Zernike_9_1	0.0	0.004574047483555187	-0.020169376297594847
