Metadata_Well	HCT116bortezomib	plate_map_name	CellLine	Dosage
B03	7166	PlateMap_HCT116bortezomib	WT	0.0
B04	6718	PlateMap_HCT116bortezomib	WT	0.0
B05	6421	PlateMap_HCT116bortezomib	WT	0.0
B06	6384	PlateMap_HCT116bortezomib	CloneA	0.0
B07	6586	PlateMap_HCT116bortezomib	CloneA	0.0
B08	6118	PlateMap_HCT116bortezomib	CloneA	0.0
B09	5293	PlateMap_HCT116bortezomib	CloneE	0.0
B10	4455	PlateMap_HCT116bortezomib	CloneE	0.0
B11	4846	PlateMap_HCT116bortezomib	CloneE	0.0
C03	7331	PlateMap_HCT116bortezomib	WT	0.7
C04	6347	PlateMap_HCT116bortezomib	WT	0.7
C05	5965	PlateMap_HCT116bortezomib	WT	0.7
C06	6871	PlateMap_HCT116bortezomib	CloneA	0.7
C07	6390	PlateMap_HCT116bortezomib	CloneA	0.7
C09	5211	PlateMap_HCT116bortezomib	CloneE	0.7
C10	6174	PlateMap_HCT116bortezomib	CloneE	0.7
C11	5066	PlateMap_HCT116bortezomib	CloneE	0.7
D03	4564	PlateMap_HCT116bortezomib	WT	7.0
D04	3996	PlateMap_HCT116bortezomib	WT	7.0
D05	4084	PlateMap_HCT116bortezomib	WT	7.0
D06	4734	PlateMap_HCT116bortezomib	CloneA	7.0
D07	5075	PlateMap_HCT116bortezomib	CloneA	7.0
D08	4294	PlateMap_HCT116bortezomib	CloneA	7.0
D09	3740	PlateMap_HCT116bortezomib	CloneE	7.0
D10	3473	PlateMap_HCT116bortezomib	CloneE	7.0
D11	3359	PlateMap_HCT116bortezomib	CloneE	7.0
E03	3707	PlateMap_HCT116bortezomib	WT	70.0
E04	4370	PlateMap_HCT116bortezomib	WT	70.0
E05	3527	PlateMap_HCT116bortezomib	WT	70.0
E06	3451	PlateMap_HCT116bortezomib	CloneA	70.0
E07	3529	PlateMap_HCT116bortezomib	CloneA	70.0
E08	3638	PlateMap_HCT116bortezomib	CloneA	70.0
E09	2619	PlateMap_HCT116bortezomib	CloneE	70.0
E10	2522	PlateMap_HCT116bortezomib	CloneE	70.0
E11	2074	PlateMap_HCT116bortezomib	CloneE	70.0
F08	4068	PlateMap_HCT116bortezomib	CloneA	0.7
