term	df	sumsq	meansq	statistic	p.value	feature	neg_log_p	comparison_tukey	estimate_tukey	conf.low_tukey	conf.high_tukey	adj.p.value_tukey	neg_log_adj_p_tukey
Metadata_clone_type	1	38.10718542351859	38.10718542351859	1008.0060634415805	1.2997286876184839e-36	Nuclei_RadialDistribution_FracAtD_RNA_3of4	35.88614729520662	sensitive-resistant	1.690573543731208	1.5838179290828278	1.797329158379588	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	31.841092472957975	31.841092472957975	686.3980539055458	2.2317136677752178e-32	Nuclei_RadialDistribution_MeanFrac_RNA_3of4	31.651361526796368	sensitive-resistant	1.5453420124593291	1.4270855674373166	1.6635984574813416	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	30.075896361264896	30.075896361264896	392.3429300328512	1.9690221757347326e-26	Cells_RadialDistribution_MeanFrac_DNA_3of4	25.705749392676005	sensitive-resistant	-1.5018962104935438	-1.6539142877707564	-1.3498781332163312	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	15.582486903980005	15.582486903980005	297.3613986133356	1.2818644292313418e-23	Nuclei_RadialDistribution_MeanFrac_RNA_4of4	22.892157903639426	sensitive-resistant	-1.0810580547771247	-1.2067463833436323	-0.9553697262106171	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	23.72807034519337	23.72807034519337	289.75393107858315	2.3192748769940187e-23	Cells_AreaShape_Zernike_9_7	22.634647776378312	sensitive-resistant	-1.3340184690961003	-1.4911398919243584	-1.1768970462678423	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	15.707463241638461	15.707463241638461	261.3227772655148	2.4053060849535797e-22	Cells_AreaShape_Zernike_8_6	21.618829650039434	sensitive-resistant	-1.085384606083431	-1.2199964441797906	-0.9507727679870711	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	21.071387049831046	21.071387049831046	251.2224487076456	5.812280157470181e-22	Nuclei_RadialDistribution_MeanFrac_ER_4of4	21.23565346045953	sensitive-resistant	-1.257121326180305	-1.4161356332468389	-1.098107019113771	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	20.716332780114705	20.716332780114705	239.7358139681868	1.6440291852010038e-21	Nuclei_Correlation_Correlation_DNA_RNA	20.784090477027572	sensitive-resistant	1.2464850414299418	1.0850830676184051	1.4078870152414784	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	16.03588211090992	16.03588211090992	230.43467103781487	3.933269123542279e-21	Cells_AreaShape_Compactness	20.405246337121728	sensitive-resistant	-1.0966727672000633	-1.2415137212433178	-0.9518318131568089	4.3731684939984916e-13	12.359203789381862
Metadata_clone_type	1	13.739551213264447	13.739551213264447	215.93502292901132	1.625226274773281e-20	Cells_AreaShape_Zernike_5_3	19.789086165119432	sensitive-resistant	-1.0151188802277462	-1.1536169086440673	-0.8766208518114251	4.375388940047742e-13	12.3589833353254
Metadata_clone_type	1	16.726723109278826	16.726723109278826	206.2429090926967	4.3815264328106613e-20	Nuclei_RadialDistribution_MeanFrac_AGP_4of4	19.358374563957263	sensitive-resistant	-1.1200465317101393	-1.2764098153101993	-0.9636832481100795	4.375388940047742e-13	12.3589833353254
