term	comparison	estimate	conf.low	conf.high	adj.p.value	feature	compartment	feature_group	measurement	channel	parameter1	parameter2	neg_log_adj_p	dataset	compartment_feature_group	in_signature
Within same clone type	BZ002-BZ001	0.2934836602518461	-0.34282640892486343	0.9297937294285556	0.899712961559925	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	0.04589602288703861	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	BZ003-BZ001	0.44016787475690305	-0.20385532535728473	1.0841910748710908	0.46841323346507713	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	0.32937084387364046	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	BZ004-BZ001	0.2562651236833828	-0.387758076430805	0.9002883237975705	0.9582241346737608	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	0.01853289481826489	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	BZ005-BZ001	0.4069158420514836	-0.2293942271252259	1.0432259112281932	0.5666944535998831	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	0.24665103790156523	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	WT clone 01-BZ001	0.23969627957194473	-0.3966137896047648	0.8760063487486542	0.9706270244278536	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	0.01294762112241693	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	WT clone 02-BZ001	-0.1410028965186662	-0.7850260966328539	0.5030203035955216	0.9994839279659212	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	2.2418508946940848e-4	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	WT clone 03-BZ001	0.1705295742749724	-0.4734936258392154	0.8145527743891602	0.9976717290759428	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	0.00101233416663875	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	WT clone 04-BZ001	0.3850957051192799	-0.2589274949949079	1.0291189052334675	0.6591770908410782	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	0.1809978945970344	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	WT clone 05-BZ001	0.7290942851739561	0.09278421599724662	1.3654043543506655	0.01150825033443458	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	1.9389906996422344	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	BZ003-BZ002	0.14668421450505698	-0.48962585467165254	0.7829942836817665	0.9992179913374176	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	3.397549099226548e-4	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	BZ004-BZ002	-0.0372185365684633	-0.6735286057451728	0.5990915326082462	0.9999999945464492	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	2.3684470882885564e-9	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	BZ005-BZ002	0.11343218179963754	-0.5150701061723462	0.7419344697716213	0.999895265389261	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	4.548804563619698e-5	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	WT clone 01-BZ002	-0.05378738067990135	-0.6822896686518851	0.5747149072920823	0.9999998385959172	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	7.009690815879355e-8	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	WT clone 02-BZ002	-0.4344865567705123	-1.0707966259472217	0.20182351240619725	0.4698274136397167	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	0.3280616464662132	bortezomib	Cells - RadialDistribution - AGP	FALSE
Within same clone type	WT clone 03-BZ002	-0.12295408597687368	-0.7592641551535833	0.5133559831998358	0.9998148855985552	Cells_RadialDistribution_RadialCV_AGP_1of4	Cells	RadialDistribution	RadialCV	AGP	1of4	NA	8.0401605045393e-5	bortezomib	Cells - RadialDistribution - AGP	FALSE
