"","features","dataset"
"1","Cells_AreaShape_Compactness","bortezomib"
"2","Cells_AreaShape_Eccentricity","bortezomib"
"3","Cells_AreaShape_Extent","bortezomib"
"4","Cells_AreaShape_FormFactor","bortezomib"
"5","Cells_AreaShape_MeanRadius","bortezomib"
"6","Cells_AreaShape_MedianRadius","bortezomib"
"7","Cells_AreaShape_Orientation","bortezomib"
"8","Cells_AreaShape_Solidity","bortezomib"
"9","Cells_AreaShape_Zernike_0_0","bortezomib"
"10","Cells_AreaShape_Zernike_1_1","bortezomib"
"11","Cells_AreaShape_Zernike_2_0","bortezomib"
"12","Cells_AreaShape_Zernike_2_2","bortezomib"
"13","Cells_AreaShape_Zernike_3_1","bortezomib"
"14","Cells_AreaShape_Zernike_3_3","bortezomib"
"15","Cells_AreaShape_Zernike_4_0","bortezomib"
"16","Cells_AreaShape_Zernike_4_2","bortezomib"
"17","Cells_AreaShape_Zernike_4_4","bortezomib"
"18","Cells_AreaShape_Zernike_5_1","bortezomib"
"19","Cells_AreaShape_Zernike_5_3","bortezomib"
"20","Cells_AreaShape_Zernike_5_5","bortezomib"
"21","Cells_AreaShape_Zernike_6_0","bortezomib"
"22","Cells_AreaShape_Zernike_6_2","bortezomib"
"23","Cells_AreaShape_Zernike_6_4","bortezomib"
"24","Cells_AreaShape_Zernike_6_6","bortezomib"
"25","Cells_AreaShape_Zernike_7_1","bortezomib"
"26","Cells_AreaShape_Zernike_7_3","bortezomib"
"27","Cells_AreaShape_Zernike_7_5","bortezomib"
"28","Cells_AreaShape_Zernike_7_7","bortezomib"
"29","Cells_AreaShape_Zernike_8_0","bortezomib"
"30","Cells_AreaShape_Zernike_8_2","bortezomib"
"31","Cells_AreaShape_Zernike_8_4","bortezomib"
"32","Cells_AreaShape_Zernike_8_6","bortezomib"
"33","Cells_AreaShape_Zernike_8_8","bortezomib"
"34","Cells_AreaShape_Zernike_9_1","bortezomib"
"35","Cells_AreaShape_Zernike_9_3","bortezomib"
"36","Cells_AreaShape_Zernike_9_5","bortezomib"
"37","Cells_AreaShape_Zernike_9_7","bortezomib"
"38","Cells_AreaShape_Zernike_9_9","bortezomib"
"39","Cells_Correlation_Correlation_DNA_AGP","bortezomib"
"40","Cells_Correlation_Correlation_DNA_ER","bortezomib"
"41","Cells_Correlation_Correlation_DNA_Mito","bortezomib"
"42","Cells_Correlation_Correlation_DNA_RNA","bortezomib"
"43","Cells_Correlation_Correlation_ER_AGP","bortezomib"
