Metadata_model_split	metric	metric_value	dataset	shuffle	permutation
test	accuracy	0.5555555555555556	cloneAE	True	0
training	accuracy	0.5416666666666666	cloneAE	True	0
validation	accuracy	0.7333333333333333	cloneAE	True	0
test	avg_precision	0.6666666666666666	cloneAE	True	0
training	avg_precision	0.6531862745098039	cloneAE	True	0
validation	avg_precision	0.7733333333333334	cloneAE	True	0
test	accuracy	0.4406779661016949	cb5083	True	0
training	accuracy	0.5041322314049587	cb5083	True	0
validation	accuracy	0.5	cb5083	True	0
test	avg_precision	0.3652665192827315	cb5083	True	0
training	avg_precision	0.5564787074572508	cb5083	True	0
validation	avg_precision	0.5	cb5083	True	0
test	accuracy	0.48717948717948717	ixazomib	True	0
training	accuracy	0.49382716049382713	ixazomib	True	0
validation	accuracy	0.4	ixazomib	True	0
test	avg_precision	0.388628762541806	ixazomib	True	0
training	avg_precision	0.5569353667392882	ixazomib	True	0
validation	avg_precision	0.46	ixazomib	True	0
test	accuracy	0.7777777777777778	cloneAE	True	1
training	accuracy	0.5416666666666666	cloneAE	True	1
validation	accuracy	0.6	cloneAE	True	1
test	avg_precision	0.75	cloneAE	True	1
training	avg_precision	0.6666666666666666	cloneAE	True	1
validation	avg_precision	0.69	cloneAE	True	1
test	accuracy	0.5084745762711864	cb5083	True	1
training	accuracy	0.512396694214876	cb5083	True	1
validation	accuracy	0.5166666666666667	cb5083	True	1
test	avg_precision	0.39513633014001476	cb5083	True	1
training	avg_precision	0.5584371530775873	cb5083	True	1
validation	avg_precision	0.5085858585858586	cb5083	True	1
test	accuracy	0.41025641025641024	ixazomib	True	1
training	accuracy	0.5061728395061729	ixazomib	True	1
validation	accuracy	0.5	ixazomib	True	1
test	avg_precision	0.3507692307692308	ixazomib	True	1
training	avg_precision	0.5569336778639105	ixazomib	True	1
validation	avg_precision	0.5	ixazomib	True	1
test	accuracy	0.4444444444444444	cloneAE	True	2
training	accuracy	0.6666666666666666	cloneAE	True	2
validation	accuracy	0.6	cloneAE	True	2
test	avg_precision	0.6031746031746031	cloneAE	True	2
training	avg_precision	0.7485119047619047	cloneAE	True	2
validation	avg_precision	0.6666666666666666	cloneAE	True	2
test	accuracy	0.4067796610169492	cb5083	True	2
training	accuracy	0.5454545454545454	cb5083	True	2
validation	accuracy	0.5166666666666667	cb5083	True	2
test	avg_precision	0.36035372144436256	cb5083	True	2
training	avg_precision	0.5753669668187986	cb5083	True	2
validation	avg_precision	0.5086666666666667	cb5083	True	2
test	accuracy	0.6153846153846154	ixazomib	True	2
training	accuracy	0.5925925925925926	ixazomib	True	2
validation	accuracy	0.5166666666666667	ixazomib	True	2
test	avg_precision	0.46153846153846156	ixazomib	True	2
training	avg_precision	0.6124106562703054	ixazomib	True	2
validation	avg_precision	0.5086206896551724	ixazomib	True	2
test	accuracy	0.8888888888888888	cloneAE	True	3
training	accuracy	0.5	cloneAE	True	3
validation	accuracy	0.4666666666666667	cloneAE	True	3
test	avg_precision	0.9444444444444444	cloneAE	True	3
training	avg_precision	0.6284722222222223	cloneAE	True	3
validation	avg_precision	0.6266666666666667	cloneAE	True	3
test	accuracy	0.559322033898305	cb5083	True	3
training	accuracy	0.5206611570247934	cb5083	True	3
validation	accuracy	0.38333333333333336	cb5083	True	3
test	avg_precision	0.42743718354054244	cb5083	True	3
training	avg_precision	0.5641936638444413	cb5083	True	3
validation	avg_precision	0.45333333333333337	cb5083	True	3
test	accuracy	0.41025641025641024	ixazomib	True	3
training	accuracy	0.4567901234567901	ixazomib	True	3
validation	accuracy	0.4666666666666667	ixazomib	True	3
test	avg_precision	0.3536130536130536	ixazomib	True	3
training	avg_precision	0.5378044711378045	ixazomib	True	3
validation	avg_precision	0.4845238095238095	ixazomib	True	3
test	accuracy	0.2222222222222222	cloneAE	True	4
training	accuracy	0.625	cloneAE	True	4
validation	accuracy	0.5333333333333333	cloneAE	True	4
test	avg_precision	0.5777777777777778	cloneAE	True	4
training	avg_precision	0.696078431372549	cloneAE	True	4
validation	avg_precision	0.6454545454545455	cloneAE	True	4
test	accuracy	0.6440677966101694	cb5083	True	4
training	accuracy	0.4793388429752066	cb5083	True	4
validation	accuracy	0.45	cb5083	True	4
test	avg_precision	0.49435795873249816	cb5083	True	4
training	avg_precision	0.5414867809711772	cb5083	True	4
validation	avg_precision	0.47758620689655173	cb5083	True	4
test	accuracy	0.38461538461538464	ixazomib	True	4
training	accuracy	0.4691358024691358	ixazomib	True	4
validation	accuracy	0.36666666666666664	ixazomib	True	4
test	avg_precision	0.34505494505494505	ixazomib	True	4
training	avg_precision	0.5400352733686067	ixazomib	True	4
validation	avg_precision	0.4555555555555556	ixazomib	True	4
test	accuracy	0.5555555555555556	cloneAE	True	5
training	accuracy	0.4583333333333333	cloneAE	True	5
validation	accuracy	0.6	cloneAE	True	5
test	avg_precision	0.7777777777777778	cloneAE	True	5
training	avg_precision	0.6063596491228069	cloneAE	True	5
validation	avg_precision	0.6666666666666666	cloneAE	True	5
test	accuracy	0.4915254237288136	cb5083	True	5
training	accuracy	0.512396694214876	cb5083	True	5
validation	accuracy	0.5	cb5083	True	5
test	avg_precision	0.381369578864052	cb5083	True	5
training	avg_precision	0.5584371530775873	cb5083	True	5
validation	avg_precision	0.5	cb5083	True	5
test	accuracy	0.41025641025641024	ixazomib	True	5
training	accuracy	0.49382716049382713	ixazomib	True	5
validation	accuracy	0.55	ixazomib	True	5
test	avg_precision	0.3505494505494506	ixazomib	True	5
training	avg_precision	0.548845947396672	ixazomib	True	5
validation	avg_precision	0.5277777777777778	ixazomib	True	5
test	accuracy	0.5555555555555556	cloneAE	True	6
training	accuracy	0.5833333333333334	cloneAE	True	6
validation	accuracy	0.4	cloneAE	True	6
test	avg_precision	0.6666666666666666	cloneAE	True	6
training	avg_precision	0.6531250000000001	cloneAE	True	6
validation	avg_precision	0.6285714285714286	cloneAE	True	6
test	accuracy	0.4915254237288136	cb5083	True	6
training	accuracy	0.4793388429752066	cb5083	True	6
validation	accuracy	0.6	cb5083	True	6
test	avg_precision	0.39215292199816887	cb5083	True	6
training	avg_precision	0.5439825665063114	cb5083	True	6
validation	avg_precision	0.5588235294117647	cb5083	True	6
test	accuracy	0.5128205128205128	ixazomib	True	6
training	accuracy	0.48148148148148145	ixazomib	True	6
validation	accuracy	0.4666666666666667	ixazomib	True	6
test	avg_precision	0.38660968660968664	ixazomib	True	6
training	avg_precision	0.5475783475783476	ixazomib	True	6
validation	avg_precision	0.48444444444444446	ixazomib	True	6
test	accuracy	0.5555555555555556	cloneAE	True	7
training	accuracy	0.4583333333333333	cloneAE	True	7
validation	accuracy	0.6	cloneAE	True	7
test	avg_precision	0.6666666666666666	cloneAE	True	7
training	avg_precision	0.6291666666666667	cloneAE	True	7
validation	avg_precision	0.6666666666666666	cloneAE	True	7
test	accuracy	0.5254237288135594	cb5083	True	7
training	accuracy	0.4628099173553719	cb5083	True	7
validation	accuracy	0.5333333333333333	cb5083	True	7
test	avg_precision	0.39425202652910835	cb5083	True	7
training	avg_precision	0.5341474445952059	cb5083	True	7
validation	avg_precision	0.5175925925925926	cb5083	True	7
test	accuracy	0.717948717948718	ixazomib	True	7
training	accuracy	0.5061728395061729	ixazomib	True	7
validation	accuracy	0.5666666666666667	ixazomib	True	7
test	avg_precision	0.5448717948717948	ixazomib	True	7
training	avg_precision	0.5583258054802771	ixazomib	True	7
validation	avg_precision	0.5377777777777777	ixazomib	True	7
test	accuracy	0.5555555555555556	cloneAE	True	8
training	accuracy	0.5416666666666666	cloneAE	True	8
validation	accuracy	0.4666666666666667	cloneAE	True	8
test	avg_precision	0.6666666666666666	cloneAE	True	8
training	avg_precision	0.6531862745098039	cloneAE	True	8
validation	avg_precision	0.6266666666666667	cloneAE	True	8
test	accuracy	0.4406779661016949	cb5083	True	8
training	accuracy	0.47107438016528924	cb5083	True	8
validation	accuracy	0.4666666666666667	cb5083	True	8
test	avg_precision	0.36779200442151805	cb5083	True	8
training	avg_precision	0.5398067244053408	cb5083	True	8
validation	avg_precision	0.4843137254901961	cb5083	True	8
test	accuracy	0.5384615384615384	ixazomib	True	8
training	accuracy	0.4567901234567901	ixazomib	True	8
validation	accuracy	0.4166666666666667	ixazomib	True	8
test	avg_precision	0.41098901098901097	ixazomib	True	8
training	avg_precision	0.5378044711378045	ixazomib	True	8
validation	avg_precision	0.46551724137931033	ixazomib	True	8
test	accuracy	0.5555555555555556	cloneAE	True	9
training	accuracy	0.6666666666666666	cloneAE	True	9
validation	accuracy	0.5333333333333333	cloneAE	True	9
test	avg_precision	0.6666666666666666	cloneAE	True	9
training	avg_precision	0.6958333333333333	cloneAE	True	9
validation	avg_precision	0.6904761904761905	cloneAE	True	9
test	accuracy	0.4576271186440678	cb5083	True	9
training	accuracy	0.5619834710743802	cb5083	True	9
validation	accuracy	0.5	cb5083	True	9
test	avg_precision	0.3761639981242044	cb5083	True	9
training	avg_precision	0.5872861764226057	cb5083	True	9
validation	avg_precision	0.5	cb5083	True	9
test	accuracy	0.48717948717948717	ixazomib	True	9
training	accuracy	0.5185185185185185	ixazomib	True	9
validation	accuracy	0.4	ixazomib	True	9
test	avg_precision	0.3719457013574661	ixazomib	True	9
training	avg_precision	0.5654938271604939	ixazomib	True	9
validation	avg_precision	0.46	ixazomib	True	9
test	accuracy	0.6666666666666666	cloneAE	True	10
training	accuracy	0.625	cloneAE	True	10
validation	accuracy	0.6666666666666666	cloneAE	True	10
test	avg_precision	0.7063492063492063	cloneAE	True	10
training	avg_precision	0.7124999999999999	cloneAE	True	10
validation	avg_precision	0.7151515151515152	cloneAE	True	10
test	accuracy	0.4576271186440678	cb5083	True	10
training	accuracy	0.5041322314049587	cb5083	True	10
validation	accuracy	0.5166666666666667	cb5083	True	10
test	avg_precision	0.3794294136224866	cb5083	True	10
training	avg_precision	0.5555753275352003	cb5083	True	10
validation	avg_precision	0.5086021505376344	cb5083	True	10
test	accuracy	0.6153846153846154	ixazomib	True	10
training	accuracy	0.5555555555555556	ixazomib	True	10
validation	accuracy	0.4666666666666667	ixazomib	True	10
test	avg_precision	0.45384615384615384	ixazomib	True	10
training	avg_precision	0.5856669677807889	ixazomib	True	10
validation	avg_precision	0.4845238095238095	ixazomib	True	10
test	accuracy	0.7777777777777778	cloneAE	True	11
training	accuracy	0.75	cloneAE	True	11
validation	accuracy	0.5333333333333333	cloneAE	True	11
test	avg_precision	0.75	cloneAE	True	11
training	avg_precision	0.78515625	cloneAE	True	11
validation	avg_precision	0.6666666666666666	cloneAE	True	11
test	accuracy	0.4915254237288136	cb5083	True	11
training	accuracy	0.628099173553719	cb5083	True	11
validation	accuracy	0.5	cb5083	True	11
test	avg_precision	0.4081636321153189	cb5083	True	11
training	avg_precision	0.6312625091020504	cb5083	True	11
validation	avg_precision	0.5	cb5083	True	11
test	accuracy	0.5641025641025641	ixazomib	True	11
training	accuracy	0.49382716049382713	ixazomib	True	11
validation	accuracy	0.48333333333333334	ixazomib	True	11
test	avg_precision	0.4165242165242165	ixazomib	True	11
training	avg_precision	0.5541910331384016	ixazomib	True	11
validation	avg_precision	0.49193548387096775	ixazomib	True	11
test	accuracy	0.6666666666666666	cloneAE	True	12
training	accuracy	0.375	cloneAE	True	12
validation	accuracy	0.6666666666666666	cloneAE	True	12
test	avg_precision	0.7063492063492063	cloneAE	True	12
training	avg_precision	0.5894607843137254	cloneAE	True	12
validation	avg_precision	0.7444444444444445	cloneAE	True	12
test	accuracy	0.4915254237288136	cb5083	True	12
training	accuracy	0.47107438016528924	cb5083	True	12
validation	accuracy	0.4166666666666667	cb5083	True	12
test	avg_precision	0.38479912586079845	cb5083	True	12
training	avg_precision	0.5373520948360455	cb5083	True	12
validation	avg_precision	0.46505376344086025	cb5083	True	12
test	accuracy	0.5128205128205128	ixazomib	True	12
training	accuracy	0.5185185185185185	ixazomib	True	12
validation	accuracy	0.5166666666666667	ixazomib	True	12
test	avg_precision	0.4128205128205128	ixazomib	True	12
training	avg_precision	0.5733333333333333	ixazomib	True	12
validation	avg_precision	0.5086021505376344	ixazomib	True	12
test	accuracy	0.5555555555555556	cloneAE	True	13
training	accuracy	0.6666666666666666	cloneAE	True	13
validation	accuracy	0.6666666666666666	cloneAE	True	13
test	avg_precision	0.7083333333333333	cloneAE	True	13
training	avg_precision	0.6958333333333333	cloneAE	True	13
validation	avg_precision	0.7444444444444445	cloneAE	True	13
test	accuracy	0.5084745762711864	cb5083	True	13
training	accuracy	0.5041322314049587	cb5083	True	13
validation	accuracy	0.4666666666666667	cb5083	True	13
test	avg_precision	0.39127802926623856	cb5083	True	13
training	avg_precision	0.5511442901891428	cb5083	True	13
validation	avg_precision	0.4845238095238095	cb5083	True	13
test	accuracy	0.5384615384615384	ixazomib	True	13
training	accuracy	0.4691358024691358	ixazomib	True	13
validation	accuracy	0.43333333333333335	ixazomib	True	13
test	avg_precision	0.40404858299595137	ixazomib	True	13
training	avg_precision	0.5425601039636128	ixazomib	True	13
validation	avg_precision	0.47111111111111115	ixazomib	True	13
test	accuracy	0.4444444444444444	cloneAE	True	14
training	accuracy	0.5	cloneAE	True	14
validation	accuracy	0.4666666666666667	cloneAE	True	14
test	avg_precision	0.6333333333333333	cloneAE	True	14
training	avg_precision	0.640625	cloneAE	True	14
validation	avg_precision	0.6083333333333334	cloneAE	True	14
test	accuracy	0.3728813559322034	cb5083	True	14
training	accuracy	0.45454545454545453	cb5083	True	14
validation	accuracy	0.5666666666666667	cb5083	True	14
test	avg_precision	0.35120040336655933	cb5083	True	14
training	avg_precision	0.533460307371951	cb5083	True	14
validation	avg_precision	0.5377777777777777	cb5083	True	14
test	accuracy	0.5641025641025641	ixazomib	True	14
training	accuracy	0.43209876543209874	ixazomib	True	14
validation	accuracy	0.5666666666666667	ixazomib	True	14
test	avg_precision	0.4238461538461539	ixazomib	True	14
training	avg_precision	0.5291710758377426	ixazomib	True	14
validation	avg_precision	0.5375	ixazomib	True	14
test	accuracy	0.4444444444444444	cloneAE	True	15
training	accuracy	0.6666666666666666	cloneAE	True	15
validation	accuracy	0.7333333333333333	cloneAE	True	15
test	avg_precision	0.6666666666666667	cloneAE	True	15
training	avg_precision	0.6958333333333333	cloneAE	True	15
validation	avg_precision	0.7733333333333334	cloneAE	True	15
test	accuracy	0.423728813559322	cb5083	True	15
training	accuracy	0.512396694214876	cb5083	True	15
validation	accuracy	0.43333333333333335	cb5083	True	15
test	avg_precision	0.36281012036354704	cb5083	True	15
training	avg_precision	0.5575223058262406	cb5083	True	15
validation	avg_precision	0.4714285714285714	cb5083	True	15
test	accuracy	0.5897435897435898	ixazomib	True	15
training	accuracy	0.4444444444444444	ixazomib	True	15
validation	accuracy	0.4666666666666667	ixazomib	True	15
test	avg_precision	0.4380566801619433	ixazomib	True	15
training	avg_precision	0.5296296296296297	ixazomib	True	15
validation	avg_precision	0.4846153846153846	ixazomib	True	15
test	accuracy	0.4444444444444444	cloneAE	True	16
training	accuracy	0.5833333333333334	cloneAE	True	16
validation	accuracy	0.6	cloneAE	True	16
test	avg_precision	0.6031746031746031	cloneAE	True	16
training	avg_precision	0.6809895833333333	cloneAE	True	16
validation	avg_precision	0.69	cloneAE	True	16
test	accuracy	0.5254237288135594	cb5083	True	16
training	accuracy	0.39669421487603307	cb5083	True	16
validation	accuracy	0.5333333333333333	cb5083	True	16
test	avg_precision	0.4150963259290451	cb5083	True	16
training	avg_precision	0.5110478001886064	cb5083	True	16
validation	avg_precision	0.5177777777777778	cb5083	True	16
test	accuracy	0.6923076923076923	ixazomib	True	16
training	accuracy	0.5802469135802469	ixazomib	True	16
validation	accuracy	0.4166666666666667	ixazomib	True	16
test	avg_precision	0.5138461538461538	ixazomib	True	16
training	avg_precision	0.6030389363722697	ixazomib	True	16
validation	avg_precision	0.46464646464646464	ixazomib	True	16
test	accuracy	0.5555555555555556	cloneAE	True	17
training	accuracy	0.6666666666666666	cloneAE	True	17
validation	accuracy	0.6666666666666666	cloneAE	True	17
test	avg_precision	0.6666666666666666	cloneAE	True	17
training	avg_precision	0.7291666666666666	cloneAE	True	17
validation	avg_precision	0.7151515151515152	cloneAE	True	17
test	accuracy	0.5423728813559322	cb5083	True	17
training	accuracy	0.5206611570247934	cb5083	True	17
validation	accuracy	0.5333333333333333	cb5083	True	17
test	avg_precision	0.42782281175796283	cb5083	True	17
training	avg_precision	0.5622852046189902	cb5083	True	17
validation	avg_precision	0.5179487179487179	cb5083	True	17
test	accuracy	0.41025641025641024	ixazomib	True	17
training	accuracy	0.49382716049382713	ixazomib	True	17
validation	accuracy	0.5166666666666667	ixazomib	True	17
test	avg_precision	0.34871794871794876	ixazomib	True	17
training	avg_precision	0.5475308641975308	ixazomib	True	17
validation	avg_precision	0.508695652173913	ixazomib	True	17
test	accuracy	0.3333333333333333	cloneAE	True	18
training	accuracy	0.5	cloneAE	True	18
validation	accuracy	0.4	cloneAE	True	18
test	avg_precision	0.5833333333333333	cloneAE	True	18
training	avg_precision	0.6284722222222223	cloneAE	True	18
validation	avg_precision	0.6111111111111112	cloneAE	True	18
test	accuracy	0.5423728813559322	cb5083	True	18
training	accuracy	0.5454545454545454	cb5083	True	18
validation	accuracy	0.4166666666666667	cb5083	True	18
test	avg_precision	0.42331700550522344	cb5083	True	18
training	avg_precision	0.576423152830887	cb5083	True	18
validation	avg_precision	0.46551724137931033	cb5083	True	18
test	accuracy	0.6666666666666666	ixazomib	True	18
training	accuracy	0.5802469135802469	ixazomib	True	18
