Metadata_model_split	Metadata_Plate	metric	metric_value	dataset	shuffle	permutation
test	207106_exposure320	accuracy	1.0	cloneAE	True	0
test	218361	accuracy	0.3333333333333333	cloneAE	True	0
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	0
training	207106_exposure320	accuracy	0.42857142857142855	cloneAE	True	0
training	218361	accuracy	0.6666666666666666	cloneAE	True	0
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	0
validation	218360	accuracy	0.6	cloneAE	True	0
test	207106_exposure320	avg_precision	1.0	cloneAE	True	0
test	218361	avg_precision	0.43333333333333335	cloneAE	True	0
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	0
training	207106_exposure320	avg_precision	0.5178571428571428	cloneAE	True	0
training	218361	avg_precision	0.8174603174603174	cloneAE	True	0
training	HCT116bortezomib	avg_precision	0.6416666666666666	cloneAE	True	0
validation	218360	avg_precision	0.69	cloneAE	True	0
test	218696	accuracy	0.4117647058823529	cb5083	True	0
test	218852	accuracy	0.4	cb5083	True	0
test	218856	accuracy	0.5454545454545454	cb5083	True	0
training	218696	accuracy	0.46511627906976744	cb5083	True	0
training	218852	accuracy	0.625	cb5083	True	0
training	218856	accuracy	0.5263157894736842	cb5083	True	0
validation	218774	accuracy	0.55	cb5083	True	0
test	218696	avg_precision	0.32189542483660133	cb5083	True	0
test	218852	avg_precision	0.3168831168831169	cb5083	True	0
test	218856	avg_precision	0.4818181818181818	cb5083	True	0
training	218696	avg_precision	0.5374806201550388	cb5083	True	0
training	218852	avg_precision	0.6582125603864735	cb5083	True	0
training	218856	avg_precision	0.5377990430622008	cb5083	True	0
validation	218774	avg_precision	0.5272727272727272	cb5083	True	0
test	218698	accuracy	0.3333333333333333	ixazomib	True	0
test	218854	accuracy	0.6190476190476191	ixazomib	True	0
training	218698	accuracy	0.5714285714285714	ixazomib	True	0
training	218854	accuracy	0.41025641025641024	ixazomib	True	0
validation	218858	accuracy	0.43333333333333335	ixazomib	True	0
test	218698	avg_precision	0.2888888888888889	ixazomib	True	0
test	218854	avg_precision	0.514041514041514	ixazomib	True	0
training	218698	avg_precision	0.6139880952380952	ixazomib	True	0
training	218854	avg_precision	0.4985014985014985	ixazomib	True	0
validation	218858	avg_precision	0.4727272727272727	ixazomib	True	0
test	207106_exposure320	accuracy	0.5	cloneAE	True	1
test	218361	accuracy	0.6666666666666666	cloneAE	True	1
test	HCT116bortezomib	accuracy	0.0	cloneAE	True	1
training	207106_exposure320	accuracy	0.5714285714285714	cloneAE	True	1
training	218361	accuracy	0.5555555555555556	cloneAE	True	1
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	1
validation	218360	accuracy	0.6	cloneAE	True	1
test	207106_exposure320	avg_precision	1.0	cloneAE	True	1
test	218361	avg_precision	0.6	cloneAE	True	1
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	1
training	207106_exposure320	avg_precision	0.6190476190476191	cloneAE	True	1
training	218361	avg_precision	0.7324263038548753	cloneAE	True	1
training	HCT116bortezomib	avg_precision	0.61	cloneAE	True	1
validation	218360	avg_precision	0.6666666666666666	cloneAE	True	1
test	218696	accuracy	0.4117647058823529	cb5083	True	1
test	218852	accuracy	0.5	cb5083	True	1
test	218856	accuracy	0.5909090909090909	cb5083	True	1
training	218696	accuracy	0.4186046511627907	cb5083	True	1
training	218852	accuracy	0.45	cb5083	True	1
training	218856	accuracy	0.5	cb5083	True	1
validation	218774	accuracy	0.4666666666666667	cb5083	True	1
test	218696	avg_precision	0.3264705882352941	cb5083	True	1
test	218852	avg_precision	0.34285714285714286	cb5083	True	1
test	218856	avg_precision	0.5132867132867133	cb5083	True	1
training	218696	avg_precision	0.5141673349371826	cb5083	True	1
training	218852	avg_precision	0.5605072463768116	cb5083	True	1
training	218856	avg_precision	0.5235697940503432	cb5083	True	1
validation	218774	avg_precision	0.4845238095238095	cb5083	True	1
test	218698	accuracy	0.5555555555555556	ixazomib	True	1
test	218854	accuracy	0.6190476190476191	ixazomib	True	1
training	218698	accuracy	0.5952380952380952	ixazomib	True	1
training	218854	accuracy	0.4358974358974359	ixazomib	True	1
validation	218858	accuracy	0.4666666666666667	ixazomib	True	1
test	218698	avg_precision	0.4027777777777778	ixazomib	True	1
test	218854	avg_precision	0.4991181657848325	ixazomib	True	1
training	218698	avg_precision	0.6386554621848739	ixazomib	True	1
training	218854	avg_precision	0.5088086516657945	ixazomib	True	1
validation	218858	avg_precision	0.4845238095238095	ixazomib	True	1
test	207106_exposure320	accuracy	1.0	cloneAE	True	2
test	218361	accuracy	0.16666666666666666	cloneAE	True	2
test	HCT116bortezomib	accuracy	1.0	cloneAE	True	2
training	207106_exposure320	accuracy	0.5714285714285714	cloneAE	True	2
training	218361	accuracy	0.5555555555555556	cloneAE	True	2
training	HCT116bortezomib	accuracy	0.5	cloneAE	True	2
validation	218360	accuracy	0.4	cloneAE	True	2
test	207106_exposure320	avg_precision	1.0	cloneAE	True	2
test	218361	avg_precision	0.4166666666666667	cloneAE	True	2
test	HCT116bortezomib	avg_precision	1.0	cloneAE	True	2
training	207106_exposure320	avg_precision	0.5928571428571427	cloneAE	True	2
training	218361	avg_precision	0.7324263038548753	cloneAE	True	2
training	HCT116bortezomib	avg_precision	0.61	cloneAE	True	2
validation	218360	avg_precision	0.6111111111111112	cloneAE	True	2
test	218696	accuracy	0.6470588235294118	cb5083	True	2
test	218852	accuracy	0.6	cb5083	True	2
test	218856	accuracy	0.3181818181818182	cb5083	True	2
training	218696	accuracy	0.5116279069767442	cb5083	True	2
training	218852	accuracy	0.575	cb5083	True	2
training	218856	accuracy	0.6052631578947368	cb5083	True	2
validation	218774	accuracy	0.4166666666666667	cb5083	True	2
test	218696	avg_precision	0.4754901960784314	cb5083	True	2
